1,2,3,4,5,6,x,y,z,TPC_Rx,TPC_Ry,TPC_Rz,x-real,y-real,z-real
-55.272,-46.755,-35.618,-108.24,-88.689,-15.834,-323.029,270.509,895.057,-1.249,-0.613,0.293,-321.947,271.787,895.486
-45.54,-30.304,-49.489,-98.889,-89.684,-130.511,-443.071,294.549,781.756,-0.069,-1.718,-1.142,-442.518,295.34,782.388
-39.108,-40.244,39.124,-130.476,-116.034,-158.998,-695.27,469.662,378.839,0.487,-2.77,-1.24,-693.911,473.051,377.316
20.228,-29.658,-30.597,-101.088,-100.406,-82.469,-596.292,-320.749,703.239,0.088,-1.891,0.161,-595.191,-319.633,703.941
7.845,-42.037,18.317,-106.727,-83.998,-40.631,-775.417,-226.82,530.327,-0.843,-2.368,0.563,-775.524,-225.025,529.986
-58.961,-20.99,-38.48,-109.167,-81.774,-103.7,-461.861,532.061,655.534,-0.604,-1.732,-0.781,-460.886,533.896,655.506
2.358,-38.906,21.895,-105.213,-128.219,-98.431,-816.538,-92.929,466.29,-0.011,-2.49,-0.891,-816.514,-90.9694,464.974
21.81,-28.556,-19.934,-95.504,-59.848,-42.044,-636.167,-417.513,620.313,-0.217,-2.383,1.218,-635.221,-416.451,620.675
-19.366,-32.816,-76.17,-107.412,-124.018,-145.638,-236.247,16.196,806.468,-0.263,-1.139,-1.448,-234.624,17.4933,806.778
19.494,-44.291,-42.833,-101.983,-68.212,-95.422,-315.291,-260.197,882.576,0.614,-1.302,0.472,-312.903,-258.606,884.287
3.633,-32.838,-10.535,-96.389,-81.158,-118.203,-755.436,-170.859,608.237,0.701,-2.151,-0.049,-755.325,-170.012,608.17
17.152,-31.785,-19.447,-90.519,-92.903,-78.575,-665.813,-316.137,641.725,0.087,-2.244,0.217,-665.162,-315.651,642.022
-54.1,-26.83,20.62,-96.702,-88.671,-160.744,-606.428,646.154,264.213,0.441,-2.968,-0.284,-606.281,648.567,262.679
-45.301,-42.803,-35.383,-97.138,-81.32,-97.721,-424.758,255.758,848.904,-0.427,-1.627,-0.575,-423.925,257.334,849.554
-33.631,-39.932,10.113,-100.124,-124.196,-64.645,-686.298,379.889,565.153,-1.399,-1.94,-0.788,-685.794,382.657,563.752
-28.851,-41.244,18.267,-105.225,-108.067,-67.612,-743.961,313.193,519.163,-1.183,-2.16,-0.435,-743.72,315.796,518.049
12.45,-43.154,30.294,-137.517,-87.941,-145.004,-766.559,-285.104,508.661,1.192,-1.744,-0.408,-766.629,-282.777,508.644
-30.095,-35.675,-29.556,-100.683,-136.161,-91.045,-533.447,251.215,770.486,-1.019,-1.579,-1.103,-533.238,253.016,769.956
-22.191,-43.452,-73.065,-102.073,-125.742,-93.948,-140.286,-8.695,847.477,-0.723,-0.779,-0.692,-139.146,-8.04051,847.851
-29.222,-48.08,-25.835,-106.18,-116.738,-63.861,-441.741,164.03,876.406,-1.038,-1.195,-0.405,-441.152,165.567,876.674
-9.863,-39.093,-37.325,-94.138,-102.332,-147.761,-524.596,-2.156,817.939,0.596,-1.751,-1.033,-523.816,-1.15853,818.822
22.032,-25.196,-52.968,-107.077,-53.988,-17.203,-424.842,-342.239,753.791,-0.178,-1.778,1.731,-422.774,-340.3,754.443
-26.445,-42.618,-43.879,-91.333,-121.347,-109.743,-397.058,123.098,859.67,-0.539,-1.621,-1.047,-396.04,124.721,860.448
-28.021,-25.192,-51.185,-104.163,-135.591,-171.857,-494.537,205.979,745.853,0.141,-2.015,-1.985,-493.826,207.731,745.225
-7.506,-21.508,-74.63,-106.526,-86.19,-95.685,-404.173,-62.468,753.418,0.041,-1.176,-0.162,-401.932,-61.2456,753.835
22.831,-31.585,-16.632,-108.227,-103.99,-89.272,-641.483,-367.586,658.609,0.223,-1.956,0.03,-640.935,-366.11,658.977
16.568,-33.831,33.346,-137.677,-84.555,-137.311,-798.972,-360.921,344.993,1.26,-1.926,-0.164,-798.943,-359.117,344.511
